年月,區域別,村里數,鄰數,戶數,性別,人口數,遷入人數,遷出人數,出生人數,死亡人數,平地原住民,山地原住民,年齡14歲以下人數,年齡15至64歲人數,年齡65歲以上人數
"11212","斗六市","40","826","40776","男女合計","108172","255","216","45","58","274","303","13898","75725","18549"
"11212","莿桐鄉","14","310","9480","男女合計","27367","51","57","6","28","74","86","2664","18935","5768"
"11212","林內鄉","10","216","6066","男女合計","16635","25","49","6","16","27","35","1511","11559","3565"
"11212","斗南鎮","24","428","16569","男女合計","43218","93","95","19","34","74","83","4427","29974","8817"
"11212","古坑鄉","20","365","11509","男女合計","29846","50","66","6","44","38","45","2438","20429","6979"
"11212","大埤鄉","15","208","6643","男女合計","17929","27","42","8","6","28","22","1496","12338","4095"
"11212","虎尾鎮","29","552","26908","男女合計","70386","164","119","26","46","160","119","9092","48909","12385"
"11212","土庫鎮","17","260","9751","男女合計","27513","48","51","11","27","26","22","2921","18591","6001"
"11212","褒忠鄉","9","134","4444","男女合計","11889","15","22","5","10","26","23","1002","8065","2822"
"11212","元長鄉","21","316","8981","男女合計","23371","35","55","5","31","31","27","1732","15260","6379"
"11212","西螺鎮","27","369","15438","男女合計","44494","128","90","17","29","70","105","5553","30090","8851"
"11212","二崙鄉","18","255","8939","男女合計","24848","32","32","11","25","46","28","2006","16678","6117"
"11212","崙背鄉","14","240","8671","男女合計","22853","33","52","9","10","61","45","2138","15215","5450"
"11212","北港鎮","28","408","16115","男女合計","37534","88","75","19","38","41","42","3943","25455","8081"
"11212","口湖鄉","21","289","9173","男女合計","24985","37","60","5","35","44","39","1809","17564","5559"
"11212","水林鄉","24","318","9395","男女合計","22740","15","51","8","35","44","15","1526","15020","6114"
"11212","麥寮鄉","13","218","15611","男女合計","49533","110","86","39","27","269","278","6848","35975","6680"
"11212","東勢鄉","12","213","5704","男女合計","13399","13","17","1","15","24","14","894","9065","3407"
"11212","臺西鄉","15","315","8359","男女合計","21739","21","44","5","28","33","31","1543","15311","4848"
"11212","四湖鄉","21","296","8442","男女合計","21017","23","46","16","36","33","17","1328","14515","5121"
